CVE,DESCRIP
1,Renglón uno de los integrante del hogar
2,Renglón dos de los integrante del hogar
3,Renglón tres de los integrante del hogar
4,Renglón cuatro de los integrante del hogar
5,Renglón cinco de los integrante del hogar
6,Renglón seis de los integrante del hogar
7,Renglón siete de los integrante del hogar
8,Renglón ocho de los integrante del hogar
9,Renglón nueve de los integrante del hogar
10,Renglón diez de los integrante del hogar
11,Renglón once de los integrante del hogar
12,Renglón doce de los integrante del hogar
13,Renglón trece de los integrante del hogar
14,Renglón catorce de los integrante del hogar
15,Renglón quince de los integrante del hogar
16,Renglón dieciséis de los integrante del hogar
17,Renglón diecisiete de los integrante del hogar
18,Renglón dieciocho de los integrante del hogar
19,Renglón diecinueve de los integrante del hogar
20,Renglón veinte de los integrante del hogar
21,Renglón veintiuno de los integrante del hogar
22,Renglón veintidós de los integrante del hogar
23,Renglón veintitrés de los integrante del hogar
24,Renglón veinticuatro de los integrante del hogar
25,Renglón veinticinco de los integrante del hogar
26,Renglón veintiséis de los integrante del hogar
27,Renglón veintisiete de los integrante del hogar
28,Renglón veintiocho de los integrante del hogar
29,Renglón veintinueve de los integrante del hogar
30,Renglón treinta de los integrante del hogar
