CVE,DESCRIP
1,Comenzó el día uno
2,Comenzó el día dos
3,Comenzó el día tres
4,Comenzó el día cuatro
5,Comenzó el día cinco
6,Comenzó el día seis
7,Comenzó el día siete
8,Comenzó el día ocho
9,Comenzó el día nueve
10,Comenzó el día diez
11,Comenzó el día once
12,Comenzó el día doce
13,Comenzó el día trece 
14,Comenzó el día catorce 
15,Comenzó el día quince 
16,Comenzó el día dieciséis 
17,Comenzó el día diecisiete 
18,Comenzó el día dieciocho 
19,Comenzó el día diecinueve 
20,Comenzó el día veinte 
21,Comenzó el día veintiuno 
22,Comenzó el día veintidós 
23,Comenzó el día veintitrés 
24,Comenzó el día veinticuatro 
25,Comenzó el día veinticinco 
26,Comenzó el día veintiséis 
27,Comenzó el día veintisiete 
28,Comenzó el día veintiocho 
29,Comenzó el día veintinueve 
30,Comenzó el día treinta 
31,Comenzó el día treintaiuno
99,No sabe el día que comenzó
