CVE,DESCRIP
1,Terminó el día uno
2,Terminó el día dos
3,Terminó el día tres
4,Terminó el día cuatro
5,Terminó el día cinco
6,Terminó el día seis
7,Terminó el día siete
8,Terminó el día ocho
9,Terminó el día nueve
10,Terminó el día diez
11,Terminó el día once
12,Terminó el día doce
13,Terminó el día trece 
14,Terminó el día catorce 
15,Terminó el día quince 
16,Terminó el día dieciséis 
17,Terminó el día diecisiete 
18,Terminó el día dieciocho 
19,Terminó el día diecinueve 
20,Terminó el día veinte 
21,Terminó el día veintiuno 
22,Terminó el día veintidós 
23,Terminó el día veintitrés 
24,Terminó el día veinticuatro 
25,Terminó el día veinticinco 
26,Terminó el día veintiséis 
27,Terminó el día veintisiete 
28,Terminó el día veintiocho 
29,Terminó el día veintinueve 
30,Terminó el día treinta 
31,Terminó el día treintaiuno
99,No sabe día que terminó
