CVE,DESCRIP
1,Está esperando la respuesta a una solicitud o está apalabrado con un patrón que lo llamará en fecha próxima
2,"No hay trabajo en su especialidad, oficio o profesión"
3,"No cuenta con la escolaridad, los papeles o la experiencia necesaria para realizar un trabajo"
4,Piensa que por su edad o por su aspecto no lo aceptarían en un trabajo
5,En su localidad no hay trabajo o sólo se realiza en ciertas temporadas del año
6,La inseguridad pública o el exceso de trámites lo desalientan a iniciar una actividad
7,Espera recuperarse de una enfermedad o accidente
8,Está embarazada
9,"No tiene quién le cuide a sus hijos pequeños, ancianos o enfermos"
10,No lo(a) deja un familiar
11,Otras razones de mercado
12,Otras razones personales
