CVE,DESCRIP
1,"En el campo, a cielo abierto, bordo, poza, mar"
2,Ambulante de casa en casa o en la calle
3,Puesto improvisado
4,"En vehículo sin motor (bicicleta, triciclo, carretón, lancha)"
5,"En vehículo motorizado (automóvil, motocicleta, camioneta)"
6,En su propio domicilio sin instalación especial
7,En su propio domicilio con instalación especial
8,En el domicilio o propiedad del patrón o en el lugar donde lo requieren los clientes
9,Puesto semifijo
10,Puesto fijo
11,Otro lugar
99,No sabe
