NOMBRE_CAMPO,LONGITUD,TIPO,NEMÓNICO,CATÁLOGO,RANGO_CLAVES     
Resultado definitivo de la entrevista,2,C,r_def,r_def,00-15
Ciudad autorrepresentada,2,C,cd_a,cd_a,"01-52, 81-86"
Clave de la entidad,2,C,cve_ent,cve_ent,[01-32]
Control,5,C,con,,00000-999999
Unidad primaria de muestreo,7,C,upm,,0000001-9999999
Distribución semanal,3,C,d_sem,,"Primer dígito 1-5, Segundo y tercer dígito 01-13"
Número progresivo de la vivienda,4,C,n_pro_viv,,0001-9999
Vivienda Seleccionada,2,C,v_sel,v_sel,[01-99]
Número de hogar,1,C,n_hog,n_hog,[1-9]
Hogar mudado,1,C,h_mud,h_mud,0-4
Número de entrevista o visita,1,C,n_ent,n_ent,[1-5]
Periodo,3,C,per,,"Primer dígito 1-4, Segundo y tercer dígito 00-99"
Número de renglón,2,C,n_ren,n_ren,[01-30]
Edad,2,C,eda,eda,"12-97,98"
Renglón del Informante,2,C,n_inf,n_inf,"01-30,97,99"
Pregunta 1 Ahora le voy a preguntar por la situación laboral de …¿La semana pasada trabajó por lo menos una hora?,1,C,p1,p1,[1-2]
Pregunta 1a Opción 1: realizar una actividad que le proporcionó ingresos?,1,C,p1a1,p1a1,1
Pregunta 1a Opción 2: ayudar en las tierras o en el negocio de un familiar o de otra persona?,1,C,p1a2,p1a2,2
Pregunta 1a Opción 3: no trabajó la semana pasada,1,C,p1a3,p1a3,3
"Pregunta 1b Aunque ya me dijo que ... no trabajó la semana pasada, ¿tiene algún empleo, negocio o realiza alguna actividad por su cuenta?",1,C,p1b,p1b,[1-2]
Pregunta 1c ¿Cuál es la razón principal por la que ... no trabajó la semana pasada?,2,C,p1c,p1c,"01-12,99"
Pregunta 1d Durante este periodo de ausencia ¿... recibe sueldo o ganancias?,1,C,p1d,p1d,"1-2,9"
Pregunta 1e ¿En cuánto tiempo regresará ... a este mismo trabajo?,1,C,p1e,p1e,"1-5,9"
Pregunta 2 Opción 1: buscar trabajo en otro país o hacer preparativos para cruzar la frontera?,1,C,p2_1,p2_1,1
Pregunta 2 Opción 2: buscar trabajo aquí en el país,1,C,p2_2,p2_2,2
Pregunta 2 Opción 3: poner un negocio o realizar una actividad por su cuenta sin poder todavía comenzar?,1,C,p2_3,p2_3,3
Pregunta 2 Opción 4: Entonces ¿no ha tratado de buscar trabajo?,1,C,p2_4,p2_4,4
Pregunta 2 Opción 9: No sabe,1,C,p2_9,p2_9,9
Pregunta 2a Día en que comenzó,2,C,p2a_dia,p2a_dia,"01-31,99"
Pregunta 2a Semana en que comenzó,1,C,p2a_sem,p2a_sem,"1-4,9"
Pregunta 2a Mes en que comenzó,2,C,p2a_mes,p2a_mes,"01-12,99"
Pregunta 2a Año en que comenzó,4,C,p2a_anio,,"1950-Año actual,9999"
Pregunta 2b Día de la última vez,2,C,p2b_dia,p2b_dia,"01-31,99"
Pregunta 2b Semana de la última vez,1,C,p2b_sem,p2b_sem,"1-4,9"
