CVE,DESCRIP
1,Renglón del informante uno
2,Renglón del informante dos
3,Renglón del informante tres
4,Renglón del informante cuatro
5,Renglón del informante cinco
6,Renglón del informante seis
7,Renglón del informante siete
8,Renglón del informante ocho
9,Renglón del informante nueve
10,Renglón del informante diez
11,Renglón del informante once
12,Renglón del informante doce
13,Renglón del informante trece
14,Renglón del informante catorce
15,Renglón del informante quince
16,Renglón del informante dieciséis
17,Renglón del informante diecisiete
18,Renglón del informante dieciocho
19,Renglón del informante diecinueve
20,Renglón del informante veinte
21,Renglón del informante veintiuno
22,Renglón del informante veintidós
23,Renglón del informante veintitrés
24,Renglón del informante veinticuatro
25,Renglón del informante veinticinco
26,Renglón del informante veintiséis
27,Renglón del informante veintisiete
28,Renglón del informante veintiocho
29,Renglón del informante veintinueve
30,Renglón del informante treinta
