CVE,DESCRIP 
1,"Teme quedarse sin su actual trabajo, que haya recorte de personal o está por terminar su contrato"
2,Mejorar sus ingresos trabajando la misma jornada
3,"Mejorar sus condiciones de trabajo (horario, prestaciones laborales, ambiente de trabajo)"
4,Contar con seguridad social (IMSS o ISSSTE)
5,"Tener un trabajo acorde a su escolaridad, experiencia o capacitación"
6,Tener un trabajo independiente
7,Tener tiempo para atender o convivir con su familia
8,Tener tiempo para estudiar o realizar otras actividades
9,Ninguno de los anteriores
99,No sabe
