CVE,DESCRIP ,
1,Quería ganar más,
2,Quería independizarse,
3,"Cambio o deterioro en las condiciones de trabajo (prestaciones, ingresos y/o jornadas)",
4,El trabajo era riesgoso y/o insalubre,
5,Lo forzaron a renunciar o a pensionarse,
6,Falta de oportunidades para superarse,
7,Acoso o falta de respeto a su persona,
8,Conflicto con su jefe o superior,
9,Matrimonio, embarazo y/o responsabilidades familiares
10,Un familiar le impidió seguir trabajando,
11,Quería seguir estudiando,
12,Ninguno de los anteriores,
99,No sabe,
