CVE,DESCRIP ,
1,Exceso de deudas o se declaró en quiebra,
2,Aumento de los precios de los insumos o la renta del local,
3,"Bajaron las ventas, exceso de competencia",
4,El negocio resultó menos rentable de lo esperado,
5,Incumplimiento de los clientes (exceso de cuentas por cobrar),
6,Falta de crédito para seguir operando,
7,Falta de personal adecuado, ausentismo o exceso de rotación
8,Incumplimiento de los proveedores,
9,Problemas de inseguridad pública,
10,"Problemas con las autoridades (extorsión, multa)",
11,"Matrimonio, embarazo y/o responsabilidades familiares",
12,Un familiar le impidió seguir trabajando,
13,Quería seguir estudiando,
14,Ninguno de los anteriores,
99,No sabe,
