CVE,DESCRIP
1,Vivienda uno
2,Vivienda dos
3,Vivienda tres
4,Vivienda cuatro
5,Vivienda cinco
6,Vivienda seis
7,Vivienda siete
8,Vivienda ocho
9,Vivienda nueve
10,Vivienda diez
11,Vivienda once
12,Vivienda doce
13,Vivienda trece 
14,Vivienda catorce 
15,Vivienda quince 
16,Vivienda dieciséis 
17,Vivienda diecisiete 
18,Vivienda dieciocho 
19,Vivienda diecinueve 
20,Vivienda veinte 
21,Vivienda veintiuno 
22,Vivienda veintidós 
23,Vivienda veintitrés 
24,Vivienda veinticuatro 
25,Vivienda veinticinco 
26,Vivienda veintiséis 
27,Vivienda veintisiete 
28,Vivienda veintiocho 
29,Vivienda veintinueve 
30,Vivienda treinta
