CVE,DESCRIP
Blanco,No aplica
1,Resultado definitivo día uno
2,Resultado definitivo día dos
3,Resultado definitivo día tres
4,Resultado definitivo día cuatro
5,Resultado definitivo día cinco
6,Resultado definitivo día seis
7,Resultado definitivo día siete
8,Resultado definitivo día ocho
9,Resultado definitivo día nueve
10,Resultado definitivo día diez
11,Resultado definitivo día once
12,Resultado definitivo día doce
13,Resultado definitivo día trece 
14,Resultado definitivo día catorce 
15,Resultado definitivo día quince 
16,Resultado definitivo día dieciséis 
17,Resultado definitivo día diecisiete 
18,Resultado definitivo día dieciocho 
19,Resultado definitivo día diecinueve 
20,Resultado definitivo día veinte 
21,Resultado definitivo día veintiuno 
22,Resultado definitivo día veintidós 
23,Resultado definitivo día veintitrés 
24,Resultado definitivo día veinticuatro 
25,Resultado definitivo día veinticinco 
26,Resultado definitivo día veintiséis 
27,Resultado definitivo día veintisiete 
28,Resultado definitivo día veintiocho 
29,Resultado definitivo día veintinueve 
30,Resultado definitivo día treinta 
31,Resultado definitivo día treintaiuno
99,No especificado
