CVE,DESCRIP
Blanco,No aplica
1,Resultado preliminar día uno
2,Resultado preliminar día dos
3,Resultado preliminar día tres
4,Resultado preliminar día cuatro
5,Resultado preliminar día cinco
6,Resultado preliminar día seis
7,Resultado preliminar día siete
8,Resultado preliminar día ocho
9,Resultado preliminar día nueve
10,Resultado preliminar día diez
11,Resultado preliminar día once
12,Resultado preliminar día doce
13,Resultado preliminar día trece 
14,Resultado preliminar día catorce 
15,Resultado preliminar día quince 
16,Resultado preliminar día dieciséis 
17,Resultado preliminar día diecisiete 
18,Resultado preliminar día dieciocho 
19,Resultado preliminar día diecinueve 
20,Resultado preliminar día veinte 
21,Resultado preliminar día veintiuno 
22,Resultado preliminar día veintidós 
23,Resultado preliminar día veintitrés 
24,Resultado preliminar día veinticuatro 
25,Resultado preliminar día veinticinco 
26,Resultado preliminar día veintiséis 
27,Resultado preliminar día veintisiete 
28,Resultado preliminar día veintiocho 
29,Resultado preliminar día veintinueve 
30,Resultado preliminar día treinta 
31,Resultado preliminar día treintaiuno
99,No especificado
