CVE,DESCRIP
11000,Planes multidisciplinarios o generales del campo de ciencias de la educación y pedagogía
11100,Diseño curricular y pedagogía
11200,"Planeación, evaluación e investigación educativa"
11300,Orientación e intervención educativa
11400,Tecnología y comunicación educativa
11500,Ciencias de la educación
12000,Planes multidisciplinarios o generales del campo de formación docente
12100,"Formación docente en educación básica, nivel preescolar"
12200,"Formación docente en educación básica, nivel primaria"
12300,"Formación docente en educación básica, nivel secundaria"
12400,Formación docente en educación media superior
12500,Formación docente en educación superior
12600,Formación docente en la enseñanza de asignaturas específicas
12601,Formación docente en cultura física
12602,Formación docente para las artes
12603,Formación docente en la enseñanza de idiomas
12604,Formación docente en otras asignaturas específicas
12700,Formación docente en otros servicios educativos
12701,Formación docente en educación inicial
12702,Formación docente en educación especial
12703,Formación docente en educación para adultos
21000,Planes multidisciplinarios o generales del campo de artes
21100,Bellas artes
21200,Artes escénicas
21300,Música
21400,Tecnologías audiovisuales para medios de comunicación
21500,Diseño y comunicación gráfica y editorial
21600,"Diseño industrial, de moda e interiores"
21700,Artesanía tradicional y manualidades
22000,Planes multidisciplinarios o generales del campo de humanidades
22100,Teología
22200,Adquisición de idiomas extranjeros
22300,Literatura
22400,Lingüística
22500,Historia y arqueología
22600,Filosofía y ética
31000,Planes multidisciplinarios o generales del campo de ciencias sociales y estudios del comportamiento
31100,Psicología
31200,Sociología y antropología
31300,Ciencias políticas
31400,Economía
31500,Trabajo y atención social
32100,Comunicación y periodismo
32200,Biblioteconomía y archivonomía
33100,Derecho
33200,Criminología y criminalística
41000,Planes multidisciplinarios o generales del campo de negocios y contabilidad
41100,Negocios y comercio
41200,Mercadotecnia y publicidad
41300,"Finanzas, banca y seguros"
41400,Contabilidad y fiscalización
42000,Planes multidisciplinarios o generales del campo de administración y gestión
42100,Administración de empresas
42200,Administración turística y de restaurantes
42300,Administración pública
42400,Administración en el ámbito de la ingeniería y la construcción
42500,"Administración en los campos de la educación, salud, deporte, agronomía y las artes y humanidades"
51000,Planes multidisciplinarios o generales del campo de ciencias biológicas y ambientales
51100,Biología
51200,Bioquímica y biofísica
51300,Ecología y ciencias ambientales
52000,"Planes multidisciplinarios o generales del campo de ciencias físicas, químicas y de la tierra"
52100,Física y astronomía
52200,Química
52300,Ciencias de la tierra y de la atmósfera
53100,Matemáticas
53200,Estadística y actuaría
61000,Planes multidisciplinarios o generales del campo de innovación en tecnologías de la información y la comunicación
61100,Ciencias computacionales
61200,Desarrollo de hardware
61300,Desarrollo de software
62000,Planes multidisciplinarios o generales del campo de implementación de las tecnologías de la información y la comunicación
62100,Telecomunicaciones
62200,Informática
62300,Soporte y servicios de mantenimiento a las tecnologías de la información y comunicación
71000,"Planes multidisciplinarios o generales del campo de ingeniería mecánica, eléctrica, electrónica, química y profesiones afines"
71100,Mecánica y profesiones afines al trabajo metálico
71200,Electricidad y generación de energía
71300,"Electrónica, automatización y aplicaciones de la mecánica-eléctrica"
71400,Ingeniería de procesos químicos
71500,"Vehículos, barcos y aeronaves motorizadas"
71600,Tecnología para la protección del medio ambiente
71700,Ingeniería industrial
72000,Planes multidisciplinarios o generales del campo de manufacturas y procesos
72100,Industria de la alimentación
