CVE,DESCRIP
0,Años
1,Año
2,Años
3,Años
4,Años
5,Años
6,Años
7,Años
8,Años
9,Años
10,Años
11,Años
12,Años
13,Años
14,Años
15,Años
16,Años
17,Años
18,Años
19,Años
20,Años
21,Años
22,Años
23,Años
24,Años
25,Años
26,Años
27,Años
28,Años
29,Años
30,Años
31,Años
32,Años
33,Años
34,Años
35,Años
36,Años
37,Años
38,Años
39,Años
40,Años
41,Años
42,Años
43,Años
44,Años
45,Años
46,Años
47,Años
48,Años
49,Años
50,Años
51,Años
52,Años
53,Años
54,Años
55,Años
56,Años
57,Años
58,Años
59,Años
60,Años
61,Años
62,Años
63,Años
64,Años
65,Años
66,Años
67,Años
68,Años
69,Años
70,Años
71,Años
72,Años
73,Años
74,Años
75,Años
76,Años
77,Años
78,Años
79,Años
80,Años
81,Años
82,Años
83,Años
84,Años
85,Años
86,Años
87,Años
88,Años
89,Años
90,Años
91,Años
92,Años
93,Años
94,Años
95,Años
96,Años
97,Años y más
98,Años no especificados de 12 años y más
99,Años no especificados de menores de 12
