CVE,DESCRIP
0,No aplica
1,Trabajadores subordinados y remunerados - Asalariados INFORMALES
2,Trabajadores subordinados y remunerados - Asalariados FORMALES
3,Trabajadores subordinados y remunerados - Con percepciones no salariales INFORMALES
4,Trabajadores subordinados y remunerados - Con percepciones no salariales FORMALES
5,Empleadores INFORMAL
6,Empleadores FORMAL
7,Trabajadores por cuenta propia INFORMAL
8,Trabajadores por cuenta propia FORMAL
9,Trabajadores no Remunerados INFORMAL
10,Trabajadores no Remunerados FORMAL
