CVE,DESCRIP
1,Persona
2,Personas
3,Personas
4,Personas
5,Personas
6,Personas
7,Personas
8,Personas
9,Personas
10,Personas
11,Personas
12,Personas
13,Personas
14,Personas
15,Personas
16,Personas
17,Personas
18,Personas
19,Personas
20,Personas
21,Personas
22,Personas
23,Personas
24,Personas
25,Personas
26,Personas
27,Personas
28,Personas
29,Personas
30,Personas
31,Personas
32,Personas
33,Personas
34,Personas
35,Personas
36,Personas
37,Personas
38,Personas
39,Personas
40,Personas
41,Personas
42,Personas
43,Personas
44,Personas
45,Personas
46,Personas
47,Personas
48,Personas
49,Personas
50,Personas
51,Personas
52,Personas
53,Personas
54,Personas
55,Personas
56,Personas
57,Personas
58,Personas
59,Personas
60,Personas
61,Personas
62,Personas
63,Personas
64,Personas
65,Personas
66,Personas
67,Personas
68,Personas
69,Personas
70,Personas
71,Personas
72,Personas
73,Personas
74,Personas
75,Personas
76,Personas
77,Personas
78,Personas
79,Personas
80,Personas
81,Personas
82,Personas
83,Personas
84,Personas
85,Personas
86,Personas
87,Personas
88,Personas
89,Personas
90,Personas
91,Personas
92,Personas
93,Personas
94,Personas
95,Personas
96,Personas
97,Personas
98,Personas
99,Personas no especificadas 
