columna,modulo_origen,variable_original,descripcion,dtype,no_nulos_%,n_unicos
r_def,sdem,r_def,Resultado definitivo de la entrevista,int64,100.0,1
cve_loc,sdem,cve_loc,Número de la localidad,string,0.0,0
cve_mun,sdem,cve_mun,Número de municipio según entidad,string,99.2,220
est,sdem,est,Estrato nacional y estatal,int64,100.0,4
est_d_tri,sdem,est_d_tri,Estrato de diseño trimestral,int64,100.0,723
est_d_men,sdem,est_d_men,Estrato de diseño mensual,object,100.0,724
cve_ageb,sdem,cve_ageb,Número de ageb del marco nacional,string,100.0,1
t_loc_tri,sdem,t_loc_tri,Tamaño de localidad trimestral,int64,100.0,4
t_loc_men,sdem,t_loc_men,Tamaño de localidad mensual,object,100.0,5
cd_a,sdem,cd_a,Ciudad autorrepresentada,string,100.0,45
cve_ent,sdem,cve_ent,Entidad federativa,object,100.0,32
con,sdem,con,Control,string,100.0,1842
upm,sdem,upm,Unidad primaria de muestreo,string,100.0,21171
d_sem,sdem,d_sem,Distribución semanal,string,100.0,65
n_pro_viv,sdem,n_pro_viv,Número progresivo de la vivienda,string,100.0,471
v_sel,sdem,v_sel,Vivienda seleccionada,string,100.0,67
n_hog,sdem,n_hog,Número de hogar,string,100.0,4
h_mud,sdem,h_mud,Hogar mudado,string,100.0,5
n_ent,sdem,n_ent,Número de entrevista o visita,string,100.0,5
per,sdem,per,Periodo,string,100.0,1
n_ren,sdem,n_ren,Número de renglón,string,100.0,23
c_res,sdem,c_res,Pregunta 6 Condición de residencia,int64,100.0,2
par_c,sdem,par_c,Pregunta 7 Clave de parentesco,object,100.0,40
sex,sdem,sex,Pregunta 8 Sexo,object,100.0,2
eda,sdem,eda,Pregunta 9 Edad,float64,100.0,99
nac_dia,sdem,nac_dia,Pregunta 10 Día de nacimiento,object,100.0,32
nac_mes,sdem,nac_mes,Pregunta 10 Mes de nacimiento,object,100.0,13
nac_anio,sdem,nac_anio,Pregunta 10 Año de nacimiento,object,100.0,108
l_nac_c,sdem,l_nac_c,Pregunta 11 Clave de lugar de nacimiento,object,100.0,42
cs_p12,sdem,cs_p12,Pregunta 12  ¿Sabe leer y escribir un recado...?,object,100.0,4
cs_p13_1,sdem,cs_p13_1,Pregunta 13  ¿Hasta qué año aprobó... en la escuela?,object,100.0,12
cs_p13_2,sdem,cs_p13_2,Pregunta 13  ¿Hasta qué año aprobó... en la escuela?,object,100.0,11
cs_p14_c,sdem,cs_p14_c,Pregunta 14 Clave de la carrera,object,100.0,179
cs_p15,sdem,cs_p15,Pregunta 15  ¿Qué estudios le pidieron a ... para ingresar a esta carrera?,object,100.0,5
cs_p16,sdem,cs_p16,Pregunta 16  ¿...Terminó los estudios o materias de esta carrera?,object,100.0,4
cs_p17,sdem,cs_p17,Pregunta 17  ¿... Asiste actualmente a la escuela?,object,100.0,4
n_hij,sdem,n_hij,Pregunta 18 En total cuántas hijas e hijos que nacieron vivos ha tenido,object,100.0,26
e_con,sdem,e_con,Pregunta 19 Estado conyugal,object,100.0,8
cs_p20a_1,sdem,cs_p20a_1,Pregunta 20a Entidad o país de residencia hace un año,object,100.0,5
cs_p20a_c,sdem,cs_p20a_c,Pregunta 20a Clave de entidad o país de residencia hace un año,object,100.0,51
cs_p20b_1,sdem,cs_p20b_1,Pregunta 20b Municipio de residencia hace un año,object,100.0,3
cs_p20b_c,sdem,cs_p20b_c,Pregunta 20b Clave de municipio de residencia hace un año,object,100.0,263
cs_p20c_1,sdem,cs_p20c_1,Pregunta 20c Causa de la migración,object,100.0,12
cs_ad_mot,sdem,cs_ad_mot,Pregunta 21 Motivos de la ausencia,object,100.0,1
cs_p21_des,sdem,cs_p21_des,Pregunta 21 Especificación de otro motivo,object,100.0,1
cs_ad_des,sdem,cs_ad_des,Pregunta 22  ¿A qué estado de la república o país se fue ...?,object,100.0,1
cs_nr_mot,sdem,cs_nr_mot,Pregunta 23  ¿Cuál es el motivo principal por el que llegó ...?,object,100.0,11
cs_p23_des,sdem,cs_p23_des,Pregunta 23 Especificación del otro motivo,object,100.0,220
cs_nr_ori,sdem,cs_nr_ori,Pregunta 24  ¿De qué estado de la República Mexicana o país vino ...?,object,100.0,5
ur,sdem,ur,Urbano/Rural,string,100.0,2
zona,sdem,zona,Zona salarial,int64,100.0,2
salario,sdem,salario,Salario mínimo mensual según la zona salarial,int64,100.0,2
fac_tri,sdem,fac_tri,Ponderador trimestral,int64,100.0,1755
fac_men,sdem,fac_men,Ponderador mensual,int64,100.0,3553
clase1,sdem,clase1,Clasificación de la población en PEA y PNEA,int64,100.0,3
clase2,sdem,clase2,Clasificación de la población en ocupada y desocupada; disponible y no disponible,int64,100.0,5
clase3,sdem,clase3,"Clasificación de la población en ocupada plena, sin pago, ausente con nexo laboral y retorno, desocupada, iniciadora con búsqueda y ausente sin ingreso y nexo laboral",int64,100.0,8
pos_ocu,sdem,pos_ocu,Clasificación de la población ocupada por posición en la ocupación,int64,100.0,5
seg_soc,sdem,seg_soc,Clasificación de la población ocupada por condición de acceso a instituciones de salud,int64,100.0,4
rama,sdem,rama,Clasificación de la población ocupada por sector de actividad económica,int64,100.0,8
c_ocu11c,sdem,c_ocu11c,Clasificación de la población ocupada por condición de ocupación,int64,100.0,12
ing7c,sdem,ing7c,Clasificación de la población ocupada por nivel de ingreso,int64,100.0,8
dur9c,sdem,dur9c,Clasificación de la población ocupada por la duración de la jornada,int64,100.0,10
emple7c,sdem,emple7c,Clasificación de la población ocupada por número de trabajadores,int64,100.0,8
medica5c,sdem,medica5c,Clasificación de la población ocuapda por prestaciones de salud,int64,100.0,6
buscar5c,sdem,buscar5c,Clasificación de la población ocupada por búsqueda de otro empleo,int64,100.0,6
rama_est1,sdem,rama_est1,Clasificación de la población ocuapda según sector de actividades-Totales,int64,100.0,5
rama_est2,sdem,rama_est2,Clasificación de la población según sector de actividades-Subtotales,int64,100.0,12
dur_est,sdem,dur_est,Clasificación de la población ocupada por duración de la jornada laboral,int64,100.0,7
ambito1,sdem,ambito1,Clasificación de la población ocupada según el tamaño de la unidad económica-Totales,int64,100.0,4
ambito2,sdem,ambito2,Clasificación de la población ocupada por tamaño de la unidad económica-Subtotales,int64,100.0,8
tue1,sdem,tue1,Clasificación de la población ocupada por tipo de unidad económica-Totales,int64,100.0,5
tue2,sdem,tue2,Clasificación de la población ocupada por tipo de unidad económica-Subtotales,int64,100.0,8
tue3,sdem,tue3,Clasificación de la población ocupada por tipo de unidad,int64,100.0,3
busqueda,sdem,busqueda,Clasificación de la población ocupada buscador de otro trabajo,int64,100.0,3
d_ant_lab,sdem,d_ant_lab,Clasificación de la población desocupada por antecedentes,int64,100.0,3
d_cexp_est,sdem,d_cexp_est,Clasificación de la población desocupada por condición de desocupación,int64,100.0,5
dur_des,sdem,dur_des,Clasificación de la duración del desempleo,int64,100.0,7
